愛|ài|yêu / yêu
並且|bìngqiě|và; ngoài ra; hơn nữa; thêm vào đó;
不得不|bùdébù|không còn lựa chọn nào khác ngoài việc/không thể không/phải làm/không thể không làm/không thể tránh khỏi
不斷|bùduàn|không ngừng/không gián đoạn/liên tục/không đổi
不論|bùlùn|bất kể/cho dù thế nào đi nữa (ai, như thế nào, v.v.)/không quan tâm đến/không bàn luận
不如|bùrú|không bằng/không tốt bằng/kém hơn/sẽ tốt hơn nếu
不行|bùxíng|không được/không thể được/không tốt/không hiệu quả/không có khả năng
擦|cā|Chà xát; cào/lau; đánh bóng/thoa (son môi, kem dưỡng da, v.v.)/chải (bánh mì)/xé nhỏ (rau củ, v.v.)
猜|cāi|đoán
曾經/曾|céngjīng/céng|曾 [céng] một lần/đã từng/từng (trong quá khứ)/trước đây/trước kia/(dấu hiệu thì quá khứ được sử dụng trước động từ hoặc mệnh đề)<br> 曾經 [céngjīng] một lần/đã từng/từng/trước đây/từng/(dấu hiệu thì quá khứ được sử dụng trước động từ hoặc mệnh đề)<br> 曾 [zēng] ông cố (ông, cháu, v.v.)<br> 曾 [Zēng] họ Zeng
差一點/差點|chāyīdiǎn/chādiǎn|差一點 [chàyīdiǎn] xem 差點|差点[cha4 dian3]<br> 差點 [chàdiǎn] gần/gần như
常見|chángjiàn|thường thấy/phổ biến/thường xuyên nhìn thấy cái gì đó
吵架|chǎojià|cãi nhau/gây gổ/cãi vã/CL:頓|顿[dun4]
趁|chèn|Tận dụng/chọn lợi thế
充電|chōngdiàn|Sạc lại (pin)/(nghĩa bóng) nạp lại năng lượng (thông qua giải trí)/cập nhật kỹ năng và kiến ​​thức
抽菸/抽煙|chōuyān|抽煙 [chōuyān] hút (thuốc lá, thuốc lá)<br> 抽菸 [chōuyān] biến thể của 抽煙|抽烟[chou1 yan1]/hút (thuốc lá, thuốc lá)
醜|chǒu|đáng xấu hổ/xấu xí/mất mặt
初|chū|lúc đầu/(lúc) bắt đầu/đầu tiên/cấp thấp/cơ bản
吹|chuī|thổi/chơi nhạc cụ hơi/thổi mạnh/thổi phồng/khoe khoang/khoe mẽ/kết thúc bằng thất bại/thất bại
從小|cóngxiǎo|từ thời thơ ấu; từ khi còn nhỏ
粗|cū|thô ráp/sần sùi/dày (đối với vật thể hình trụ)/chưa hoàn thiện/thô tục/thô thiển/thô thiển
錯誤|cuòwù|nhầm lẫn; sai; sai/lỗi; sai lầm
答應|dāyìng|[dāying] trả lời; đáp lại/trả lời tích cực; đồng ý; chấp nhận; hứa
代|dài|thay thế/hành động thay mặt người khác/thay thế thế hệ/triều đại/thời đại/giai đoạn/kỷ nguyên (lịch sử)/kỷ nguyên (địa chất)
代表|dàibiǎo|đại diện/đại biểu/CL:位[wei4],個|个[ge4],名[ming2]/đại diện/đứng thay mặt/nhân danh
淡|dàn|nhạt nhẽo/pha loãng/yếu/nhẹ/màu nhạt/không vị/thờ ơ/(biến thể của 氮[dan4]) nitơ
當成|dàngchéng|coi là; xem là
當作/當做|dàngzuò|當作 [dàngzuò] coi như/coi như<br> 當做 [dàngzuò] coi như/coi như/nhìn như
倒|dào|lật ngược; đặt úp ngược hoặc lộn mặt trước ra sau/đổ ra/đổ ra; đổ/đảo ngược; lộn ngược; đảo chiều/đi ngược lại/trái ngược với những gì người ta có thể mong đợi; nhưng; tuy nhiên<br> [dǎo] rơi; sụp đổ; nằm ngang/thất bại; phá sản/lật đổ/thay đổi (tàu hỏa hoặc xe buýt)/di chuyển xung quanh/bán lại để kiếm lời
倒|dǎo|rơi; sụp đổ; nằm ngang/thất bại; phá sản/lật đổ/thay đổi (tàu hỏa hoặc xe buýt)/di chuyển xung quanh/bán lại kiếm lời<br> [đảo ngược] lật ngược; đặt úp ngược hoặc lộn ngược/đổ ra/đổ ra; đổ/đảo ngược; lộn ngược; đảo ngược/đi ngược lại/trái ngược với những gì người ta có thể mong đợi; nhưng; tuy nhiên
到期|dàoqí|[dàoqī] đến hạn (khoản vay, v.v.)/hết hạn (visa, v.v.)/đáo hạn (trái phiếu đầu tư, v.v.)
電燈|diàndēng|đèn điện/CL:盞|盏[zhan3]
懂得|dǒngde|Hiểu; biết; nắm bắt
棟|dòng|Bộ phân loại cho nhà ở hoặc công trình xây dựng/xà ngang (cũ)
洞|dòng|hang động/lỗ/số không (hình thức nói rõ ràng khi đánh vần các con số)
動作|dòngzuò|sự chuyển động; hành động (CL:個|个[ge4])/hành động; di chuyển
獨立|dúlì|độc lập/sự độc lập/đứng một mình
段|duàn|đoạn văn/phần/phân đoạn/giai đoạn (của một quy trình)/phân loại cho câu chuyện, khoảng thời gian, độ dài của sợi chỉ, v.v.<br> họ Duan
堆|duī|chất đống/chồng lên/một khối/đống/chồng/chồng/số lượng lớn
對方|duìfāng|Người kia; phía bên kia; bên kia
對話|duìhuà|Nói chuyện (với ai đó)/đối thoại; cuộc trò chuyện
對象|duìxiàng|mục tiêu; đối tượng/người bạn đời; bạn trai; bạn gái
頓|dùn|dừng lại/tạm dừng/sắp xếp/trải ra/cúi đầu/dậm chân/ngay lập tức/từ loại dùng để chỉ bữa ăn, những trận đòn, những lời mắng mỏ, v.v.: thời gian, đợt, khoảng thời gian, bữa ăn
多半|duōbàn|hầu hết/chủ yếu/rất có thể
多數|duōshù|đa số; phần lớn
躲|duǒ|Trốn tránh/né tránh/tránh né
嗯|en|thán từ biểu thị sự tán thành, đánh giá cao hoặc đồng ý<br> [ēn] (âm thanh rên rỉ)<br> [èn] (tiếng càu nhàu không lời như thán từ)/Được rồi, vâng/cái gì?
兒童|értóng|đứa trẻ
而已|éryǐ|Vậy thôi/không còn gì nữa.
發|fā|Gửi đi/thể hiện (cảm xúc của mình)/phát hành/phát triển/kiếm được một khoản tiền lớn/phân loại tiếng súng (đạn)
翻|fān|lật ngược/lật úp/lật đổ/lục lọi/dịch/giải mã/nhân đôi/leo qua hoặc vào/vượt qua
煩惱|fánnǎo|lo lắng/bồn chồn/lo ngại
反應|fǎnyìng|Phản ứng/đáp lại/phản ứng/đáp lại/trả lời/phản ứng hóa học
放棄|fàngqì|Từ bỏ; khước từ; khước từ
放下|fàngxià|Đặt xuống/thả xuống/buông bỏ/từ bỏ/để riêng/hạ rèm cửa xuống, v.v.
分開|fēnkāi|tách rời/chia ra
豐富|fēngfù|làm giàu/giàu có/dồi dào/phong phú
婦女|fùnǚ|đàn bà
複雜|fùzá|phức tạp; rắc rối
改變|gǎibiàn|Thay đổi/biến đổi/chuyển hóa
改天|gǎitiān|một ngày khác/một thời điểm khác/tìm một ngày khác (cho cuộc hẹn, v.v.)/hoãn lại việc đã hẹn.
感到|gǎndào|Cảm nhận; nhận biết; thấu hiểu
感動|gǎndòng|lay động (ai đó)/chạm đến (ai đó về mặt cảm xúc)/làm lay động
感謝|gǎnxiè|(bày tỏ) lòng biết ơn/sự cảm kích/biết ơn/cảm ơn
各式各樣|gèshìgèyàng|(thuộc) mọi loại và mọi kiểu/khác nhau
根|gēn|gốc/cơ sở/phân loại cho các vật thể dài và mảnh, ví dụ: thuốc lá, dây đàn guitar/CL:條|条[tiao2]/căn bậc (hóa học)
公尺|gōngchǐ|mét (đơn vị đo chiều dài)
公分|gōngfēn|centimet (cm)/gam (g)
公斤|gōngjīn|kilogam (kg)
公里|gōnglǐ|ki-lô-mét
共同|gòngtóng|chung/cùng nhau/hợp tác/hợp tác
溝通|gōutōng|Kết nối; liên lạc/giao tiếp
鼓勵|gǔlì|để khuyến khích
故意|gùyì|cố ý; có chủ đích
乖|guāi|(Đối với trẻ em) ngoan ngoãn, cư xử tốt/thông minh/tinh ranh/tỉnh táo/ngang bướng/trái với lẽ thường/bất thường/khác thường
怪|guài|khó hiểu/kỳ lạ/lạ lùng/kỳ dị/ác quỷ/quái vật/ngạc nhiên/đổ lỗi/khá/khá
關門|guānmén|Đóng cửa/khóa cửa/(cửa hàng, v.v.) đóng cửa (qua đêm hoặc vĩnh viễn)
管|guǎn|chăm sóc/kiểm soát/quản lý/phụ trách/chăm sóc/điều hành/quan tâm đến/ống/ống dẫn/nhạc cụ hơi/phân loại vật thể hình ống/từ tương tự như 把[ba3] trong cấu trúc 管...叫/bút lông/(thông tục) tới/hướng tới<br> họ Guan
規定|guīdìng|Quy định; chỉ rõ; ra lệnh; ấn định (giá cả); đặt ra (hạn ngạch)/quy chế; luật lệ; điều khoản; quy định
貴姓|guìxìng|Họ của bạn là gì?/(Tôi có thể hỏi) họ của bạn là gì không?
過期|guòqí|[guòqī] quá hạn/vượt quá thời hạn/hết hạn (như ngày hết hạn)
過去|guòqù|(trong) quá khứ; trước đây; trước đó/đi qua; đi ngang qua<br> [guòqu] (hậu tố động từ)
哈|hā|(interj.) ha!/(onom. cho tiếng cười)/(tiếng lóng) say mê/yêu mến/abbr. cho 哈士奇[ha1 shi4 qi2], husky (dog)<br> [hǎ] một người Bắc Kinh/một pug/(phương ngữ) để mắng<br> abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan/abbr. for 哈爾濱|哈尔滨[Ha1 er3 bin1], Cáp Nhĩ Tân
害|hài|gây hại/gây rắc rối/làm hại/điều ác/tai họa
嗨|hāi|Ôi than ôi/Này!/Chào! (từ mượn)/cảm giác hưng phấn (tự nhiên hoặc do thuốc) (từ mượn)
海外|hǎiwài|nước ngoài/ở nước ngoài
喊|hǎn|La hét/hét lên/gọi tên (một người)
好|hào|yêu thích; có khuynh hướng; dễ mắc phải<br> [hǎo] tốt/phù hợp; đúng đắn/ổn!/(trước động từ) dễ dàng/(trước động từ) tốt/(trước tính từ để biểu thị cảm thán) vậy nên/(bổ ngữ động từ chỉ sự hoàn thành)/(của hai người) thân thiết; gần gũi/(sau đại từ nhân xưng) xin chào
厚|hòu|Dày/sâu sắc hoặc sâu sắc/tốt bụng/hào phóng/đậm đà hoặc có hương vị mạnh mẽ/ưa thích/nhấn mạnh
忽然/忽|hūrán/hū|忽 [hū] lơ là/bỏ qua/phớt lờ/đột nhiên<br> 忽然 [hūrán] đột nhiên; bất ngờ<br> 忽 [Hū] họ Hu
糊塗|hútú|[hútu] lộn xộn/ngớ ngẩn/bối rối
互相|hùxiāng|với nhau/tương hỗ/cùng nhau
滑|huá|Trượt; trơn trượt; trơn tru/xảo quyệt; trơn trượt; không đáng tin cậy<br> họ Hoa
話題|huàtí|chủ đề (của một bài nói chuyện hoặc cuộc trò chuyện)
或許|huòxǔ|có lẽ; có thể
幾乎|jīhū|gần như; gần như; thực tế
激烈|jīliè|(Về cạnh tranh hoặc chiến đấu) dữ dội/khốc liệt/(Về cơn đau) cấp tính/(Về biểu hiện ý kiến) say mê/mãnh liệt/(Về một hành động) quyết liệt/cực đoan
機器|jīqì|machine/CL:臺|台[tai2],部[bu4],個|个[ge4]
擠|jǐ|Đông đúc/nhồi nhét/đẩy người khác sang một bên/ép buộc/chen lấn/tìm kiếm (thời gian trong lịch trình bận rộn của mình)
記|jì|Ghi chép/lưu ý/ghi nhớ/ghi lại/đánh dấu/ký hiệu/phân loại cho các cú đấm, cú đá, cú đánh
記錄|jìlù|Ghi chép/ghi lại (bản tường thuật bằng văn bản)/người ghi chú/ghi chép (trong thể thao, v.v.)
繼續|jìxù|tiếp tục/tiến hành/tiếp tục với
加入|jiārù|Trở thành thành viên/gia nhập/hòa nhập vào/tham gia/thêm vào
家事|jiāshì|chuyện gia đình/việc nhà/việc nội trợ
架|jià|Dùng để đỡ/khung/giá/khung đỡ/khung phân loại cho máy bay, xe lớn, radio, v.v.
價錢|jiàqián|[jiàqian] giá
剪|jiǎn|kéo/kéo cắt/kìm cắt/CL:把[ba3]/cắt bằng kéo/cắt tỉa/xóa sổ hoặc tiêu diệt<br> họ Jian
檢查|jiǎnchá|kiểm tra/để xem xét/để kiểm tra/CL:次[ci4]
減少|jiǎnshǎo|làm giảm bớt; làm giảm đi; làm cho bớt đi; làm cho hạ thấp
見到|jiàndào|để xem
將來|jiānglái|trong tương lai
講話|jiǎnghuà|một bài phát biểu/nói chuyện/trò chuyện/đưa ra
講價|jiǎngjià|Mặc cả (về giá cả); thương lượng
解決|jiějué|Giải quyết; dàn xếp; xử lý (một vấn đề)/loại bỏ; tiêu diệt (kẻ thù, bọn cướp, v.v.)
解釋|jiěshì|giải thích/để giải thích/để diễn giải/để giải quyết
接受|jiēshòu|Chấp nhận (một đề nghị, hình phạt, hối lộ, v.v.); đồng ý
接下來|jiēxiàlái|chấp nhận/nhận/tiếp theo/sau đó
緊|jǐn|chặt chẽ/nghiêm ngặt/sắp có/gần đó/khẩn cấp/căng thẳng/thiếu tiền/để thắt chặt
舉|jǔ|nâng lên/giữ lên/trích dẫn/liệt kê/hành động/nâng lên/lựa chọn/bầu cử/hành động/di chuyển/thực hiện
舉辦|jǔbàn|tiến hành/tổ chức
舉行|jǔxíng|Tổ chức (một cuộc họp, buổi lễ, v.v.)
拒絕|jùjué|Từ chối; bác bỏ; từ chối
距離/距|jùlí/jù|距 [jù] ở khoảng cách/khoảng cách/tách biệt<br> 距離 [jùlí] khoảng cách/tách biệt khỏi
看出|kànchū|để nhận ra/để thấy
靠|kào|dựa vào/đứng bên cạnh/đến gần/phụ thuộc vào/tin tưởng/quan hệ tình dục (thô tục)/kịch quân phục truyền thống trong đó các diễn viên mặc áo giáp (cổ)
靠近|kàojìn|ở gần/tiến đến gần; đến gần
考慮|kǎolǜ|suy nghĩ kỹ/cân nhắc/sự cân nhắc
棵|kē|Bộ phân loại dành cho cây cối, bắp cải, thực vật, v.v.
可憐|kělián|đáng thương/đáng thương/thương hại
恐怕|kǒngpà|sợ hãi/lo lắng/Tôi e rằng.../có lẽ/có thể
快速|kuàisù|nhanh; tốc độ cao; chớp nhoáng
寬|kuān|rộng/bao la/thoải mái/dễ tính<br> họ Kuan
來不及|láibùjí|[láibují] không đủ thời gian (để làm việc gì đó)/đã quá muộn (để làm việc gì đó)
來得及|láidejí|Có đủ thời gian; có thể làm kịp thời; vẫn có thể hoàn thành.
來自|láizì|Đến từ (một địa điểm)/Từ: (trong tiêu đề email)
懶|lǎn|lười
浪費|làngfèi|lãng phí/phung phí
老是|lǎoshì|[lǎoshi] luôn luôn
理由|lǐyóu|lý do/cơ sở/sự biện minh
厲害|lìhài|[lìhai] (dùng để miêu tả ai đó hoặc điều gì đó gây ấn tượng rất mạnh, dù tích cực hay tiêu cực) khủng khiếp/mãnh liệt/nghiêm trọng/tàn phá/kinh ngạc/tuyệt vời/xuất sắc/(của một người) nghiêm khắc/khắt khe/khắc nghiệt/khôn ngoan/cứng rắn/(của một con vật) hung dữ/(của sự giống nhau) nổi bật/(của rượu hoặc ớt) mạnh/(của vi khuẩn) độc hại
亮|liàng|sáng sủa/rõ ràng/vang vọng/tỏa sáng/thể hiện/tiết lộ
量|liàng|sức chứa/số lượng/khối lượng/ước tính/viết tắt của 量詞|量词[liang4 ci2], từ phân loại (trong ngữ pháp tiếng Trung)/từ đo lường<br> [liáng] đo lường
領|lǐng|cổ/cổ áo/dẫn dắt/nhận/phân loại quần áo, thảm, màn hình, v.v.
路線|lùxiàn|hành trình/tuyến đường/đường lối chính trị (ví dụ: đường xét lại bên hữu)/CL:條|条[tiao2]
罵|mà|mắng mỏ/chửi mắng/chửi rủa/CL:通[tong4],頓|顿[dun4]
滿意|mǎnyì|hài lòng/vui vẻ/đạt đến mức thỏa mãn
滿足|mǎnzú|để đáp ứng/thỏa mãn (nhu cầu của)/đã hài lòng/hài lòng
慢用|mànyòng|giống như 慢慢吃[man4 man4 chi1]
沒(有)用|méi(yǒu)yòng|沒用 [méiyòng] vô dụng
夢想|mèngxiǎng|(hình) mơ về/mơ ước
迷路|mílù|lạc đường/bị lạc/mê đạo/mê đạo tiền đình (của tai trong)
面前|miànqián|trước mặt/đối diện/(trong) sự hiện diện của
秒|miǎo|giây (đơn vị thời gian)/giây cung (đơn vị đo góc)/(coll.) tức thì
明白|míngbái|[míngbai] rõ ràng/hiển nhiên/không mơ hồ/hiểu/nhận ra
摸|mō|cảm nhận bằng tay/chạm/vuốt ve/sờ mó/ăn cắp/trừu tượng<br> [mó] biến thể của 摹[mo2]
目標|mùbiāo|mục tiêu/mục đích/kế hoạch
目前|mùqián|Hiện tại/Hiện nay
拿出|náchū|Lấy ra/đưa ra/cung cấp/đề xuất (một đề án)/đưa ra (bằng chứng)
濃|nóng|Đậm đặc/mạnh/mạnh (mùi, v.v.)
哦|ó|ồ (thán từ biểu thị sự nghi ngờ hoặc ngạc nhiên)<br> [o] tiểu từ cuối câu thể hiện sự thân mật, ấm áp, thân thiện hoặc gần gũi/cũng có thể cho biết người nói đang nêu ra một sự thật mà người kia không biết<br> [é] tụng niệm<br> [ò] ồ (thán từ biểu thị việc vừa mới biết được điều gì đó)
喔|ō|(thán từ) ồ; tôi hiểu rồi (dùng để chỉ sự nhận ra, hiểu biết)<br> [o] (Tw) (tiểu từ cuối câu) (dùng để truyền đạt giọng điệu thân thiện khi khuyên bảo hoặc sửa lỗi cho ai đó, v.v.)<br> [wō] (danh từ) tiếng gà trống gáy (thường lặp lại)/Phiên âm Đài Loan [wo4]
排|pái|một hàng/một dòng/sắp xếp theo thứ tự/sắp xếp/xếp hàng/loại bỏ/thoát nước/mở ra/tiểu đội/bè/bộ phân loại cho các dòng, hàng, v.v.
碰|pèng|chạm vào/gặp gỡ/va chạm
碰到|pèngdào|bắt gặp/tình cờ gặp/gặp gỡ/đụng phải
碰見|pèngjiàn|tình cờ gặp/đụng phải (bất ngờ)
篇|piān|Tờ giấy/mảnh giấy viết/bộ thẻ tre đóng thành tập dùng để ghi chép (cũ)/phân loại tài liệu viết: chương, bài báo
平均|píngjūn|trung bình; trung bình/đều đặn; với tỷ lệ bằng nhau
平日|píngrì|ngày bình thường/hàng ngày/thường nhật/thường thì
平時|píngshí|thông thường/trong thời bình/thời kỳ hòa bình
破壞|pòhuài|sự phá hủy/thiệt hại/làm hỏng/làm vỡ/phá hủy
普遍|pǔbiàn|Phổ biến/chung/rộng rãi/thường gặp
